"WP_NAME,C,50","WARD,C,5","PRECINCT,C,5","DISTRICT,C,10","POP_2010,N,10,0","TOWN,C,35","TOWN_ID,N,5,0","AREA_SQMI,N,19,11","AREA_ACRES,N,19,11","YEAR,N,10,0","SHAPE_AREA,N,19,11","SHAPE_LEN,N,19,11"
Braintree Town Precinct 5B,,5B,5B,2883,BRAINTREE,40,1.217,778.8,2012,3151712.92604,8711.93789571
Braintree Town Precinct 6A,,6A,6A,3070,BRAINTREE,40,1.994,1275.96,2012,5163667.29218,11175.56769
Braintree Town Precinct 6B,,6B,6B,2925,BRAINTREE,40,1.134,725.97,2012,2937925.30787,9455.88283716
Chelsea City Ward 1 Precinct 1,1,1,1-1,2295,CHELSEA,57,0.139,88.82,2012,359463.243235,3340.82315272
Chelsea City Ward 1 Precinct 2,1,2,1-2,2108,CHELSEA,57,0.073,47.04,2012,190350.90732,2247.88359109
Chelsea City Ward 1 Precinct 3,1,3,1-3,2268,CHELSEA,57,0.061,39.11,2012,158288.358759,1947.86160622
Chelsea City Ward 1 Precinct 4,1,4,1-4,2110,CHELSEA,57,0.275,176.02,2012,712311.874714,6290.86494544
East Bridgewater Town Precinct 1,,1,1,3450,EAST BRIDGEWATER,83,4.306,2755.9,2012,11152783.8254,13768.0762371
East Bridgewater Town Precinct 3,,3,3,3538,EAST BRIDGEWATER,83,5.051,3232.91,2012,13083172.8422,16015.8648627
East Bridgewater Town Precinct 4,,4,4,3324,EAST BRIDGEWATER,83,4.067,2603.02,2012,10534107.5614,14091.2789867
East Bridgewater Town Precinct 2,,2,2,3482,EAST BRIDGEWATER,83,4.108,2629.36,2012,10640698.0994,14662.526798
Chelsea City Ward 2 Precinct 1,2,1,2-1,2234,CHELSEA,57,0.321,205.59,2012,831979.704691,5881.52027058
Chelsea City Ward 2 Precinct 2,2,2,2-2,2097,CHELSEA,57,0.296,189.67,2012,767567.599039,4246.45231185
Chelsea City Ward 2 Precinct 3,2,3,2-3,2232,CHELSEA,57,0.043,27.23,2012,110214.139435,1668.94575493
Chelsea City Ward 2 Precinct 4,2,4,2-4,2216,CHELSEA,57,0.127,81.1,2012,328208.810094,2874.61832601
Chelsea City Ward 3 Precinct 1,3,1,3-1,2266,CHELSEA,57,0.084,53.78,2012,217635.819713,3088.87554092
Chelsea City Ward 3 Precinct 2,3,2,3-2,2104,CHELSEA,57,0.127,81.36,2012,329256.831525,2992.7534188
Chelsea City Ward 3 Precinct 3,3,3,3-3,2144,CHELSEA,57,0.052,33.13,2012,134053.122414,1789.80782513
Chelsea City Ward 3 Precinct 4,3,4,3-4,2227,CHELSEA,57,0.071,45.45,2012,183915.095774,2432.43417059
Chelsea City Ward 4 Precinct 1,4,1,4-1,2229,CHELSEA,57,0.157,100.25,2012,405688.59074,3100.17030832
Chelsea City Ward 4 Precinct 2,4,2,4-2,2204,CHELSEA,57,0.136,86.8,2012,351270.960884,2908.46704119
Chelsea City Ward 4 Precinct 3,4,3,4-3,2280,CHELSEA,57,0.129,82.52,2012,333953.009111,2836.08218479
Chelsea City Ward 4 Precinct 4,4,4,4-4,2163,CHELSEA,57,0.123,78.79,2012,318865.989557,3682.65152831
Braintree Town Precinct 3B,,3B,3B,2991,BRAINTREE,40,0.69,441.59,2012,1787063.27895,5978.23462688
Braintree Town Precinct 4A,,4A,4A,2971,BRAINTREE,40,0.504,322.31,2012,1304339.37065,7245.45307075
Braintree Town Precinct 4B,,4B,4B,2952,BRAINTREE,40,1.18,755.29,2012,3056547.93549,10973.3814687
Braintree Town Precinct 5A,,5A,5A,3069,BRAINTREE,40,0.956,611.96,2012,2476524.47676,10383.8964764
Braintree Town Precinct 1A,,1A,1A,3097,BRAINTREE,40,2.574,1647.45,2012,6667014.87125,12610.6221044
Braintree Town Precinct 1B,,1B,1B,2917,BRAINTREE,40,2.234,1429.94,2012,5786796.69586,11731.4476349
Braintree Town Precinct 2A,,2A,2A,2994,BRAINTREE,40,0.736,470.91,2012,1905719.62285,7930.19017663
Braintree Town Precinct 2B,,2B,2B,2935,BRAINTREE,40,0.692,442.8,2012,1791961.66275,6620.21093941
Braintree Town Precinct 3A,,3A,3A,2940,BRAINTREE,40,0.504,322.34,2012,1304487.36337,5022.16126603
Hopkinton Town Precinct 1,,1,1,3681,HOPKINTON,139,6.41,4102.52,2012,16602362.5029,20366.5958245
Hopkinton Town Precinct 2,,2,2,3781,HOPKINTON,139,5.907,3780.59,2012,15299566.6954,28871.4024752
Hopkinton Town Precinct 3,,3,3,3713,HOPKINTON,139,6.998,4478.94,2012,18125716.5041,29647.0358652
Hopkinton Town Precinct 4,,4,4,3750,HOPKINTON,139,8.571,5485.49,2012,22199097.5271,32170.7131826
Kingston Town Precinct 1,,1,1,3109,KINGSTON,145,1.849,1183.38,2012,4788983.20413,15171.7713492
Kingston Town Precinct 2,,2,2,3222,KINGSTON,145,7.646,4893.28,2012,19802491.9927,21722.7920541
Kingston Town Precinct 3,,3,3,3271,KINGSTON,145,4.715,3017.84,2012,12212807.8874,16684.281902
Kingston Town Precinct 4,,4,4,3027,KINGSTON,145,4.839,3097,2012,12533165.9136,16075.7352836
Framingham Town Precinct 5,,5,5,3682,FRAMINGHAM,100,1.46,934.36,2012,3781243.89559,9015.40802501
Framingham Town Precinct 6,,6,6,3877,FRAMINGHAM,100,1.213,776.34,2012,3141743.58199,9657.10425021
Framingham Town Precinct 7,,7,7,3687,FRAMINGHAM,100,2.824,1807.54,2012,7314869.21393,18961.9492421
Framingham Town Precinct 8,,8,8,3704,FRAMINGHAM,100,1.082,692.3,2012,2801649.70544,8036.82506511
Framingham Town Precinct 9,,9,9,3829,FRAMINGHAM,100,1.384,885.48,2012,3583429.35634,8663.85245099
Hanson Town Precinct 1,,1,1,3255,HANSON,123,4.83,3091.41,2012,12510527.7635,16429.8277333
Hanson Town Precinct 2,,2,2,3555,HANSON,123,3.6,2303.82,2012,9323269.5576,19060.3099596
Hanson Town Precinct 3,,3,3,3399,HANSON,123,7.319,4683.99,2012,18955528.9362,24299.7374393
Easthampton Town Precinct 1,,1,1,3083,EASTHAMPTON,87,4.355,2787.43,2012,11280387.3756,17973.8479153
Easthampton Town Precinct 2,,2,2,3283,EASTHAMPTON,87,2.487,1591.85,2012,6442011.70758,16334.4962064
Easthampton Town Precinct 3,,3,3,3099,EASTHAMPTON,87,1.692,1082.57,2012,4381003.29432,13613.7443531
Easthampton Town Precinct 4,,4,4,3253,EASTHAMPTON,87,2.982,1908.33,2012,7722751.94356,13298.7531047
Easthampton Town Precinct 5,,5,5,3335,EASTHAMPTON,87,2.087,1335.72,2012,5405484.38115,11155.9402973
Foxborough Town Precinct 2,,2,2,3438,FOXBOROUGH,99,3.867,2475.16,2012,10016675.8071,18613.3392076
Foxborough Town Precinct 3,,3,3,3255,FOXBOROUGH,99,3.45,2208.16,2012,8936135.3479,13826.7487019
Foxborough Town Precinct 4,,4,4,3395,FOXBOROUGH,99,7.476,4784.84,2012,19363618.5337,23418.7569021
Foxborough Town Precinct 5,,5,5,3254,FOXBOROUGH,99,3.269,2092.14,2012,8466608.6382,14672.1243967
Foxborough Town Precinct 1,,1,1,3523,FOXBOROUGH,99,2.785,1782.31,2012,7212797.25001,12169.2538029
Framingham Town Precinct 1,,1,1,3728,FRAMINGHAM,100,4.135,2646.37,2012,10709515.8055,16238.2736421
Framingham Town Precinct 10,,10,10,3934,FRAMINGHAM,100,0.75,480.13,2012,1943005.44513,7916.81999433
Framingham Town Precinct 11,,11,11,3933,FRAMINGHAM,100,3.202,2049.08,2012,8292346.88506,16827.681201
Framingham Town Precinct 12,,12,12,3876,FRAMINGHAM,100,0.709,454,2012,1837289.83728,6963.70666464
Framingham Town Precinct 13,,13,13,3815,FRAMINGHAM,100,0.654,418.65,2012,1694242.36838,7829.97335733
Framingham Town Precinct 14,,14,14,3906,FRAMINGHAM,100,0.444,283.87,2012,1148801.7732,5554.22431136
Framingham Town Precinct 15,,15,15,3869,FRAMINGHAM,100,0.629,402.73,2012,1629782.97131,6995.2091269
Framingham Town Precinct 16,,16,16,3709,FRAMINGHAM,100,1.112,711.81,2012,2880612.95972,8673.66845094
Framingham Town Precinct 17,,17,17,3761,FRAMINGHAM,100,0.221,141.63,2012,573153.502982,3175.31887563
Framingham Town Precinct 18,,18,18,3847,FRAMINGHAM,100,0.618,395.73,2012,1601474.76892,6686.98151703
Framingham Town Precinct 2,,2,2,3833,FRAMINGHAM,100,1.78,1139.38,2012,4610940.11711,12594.6823408
Framingham Town Precinct 3,,3,3,3717,FRAMINGHAM,100,1.284,821.64,2012,3325088.51763,8746.79823495
Framingham Town Precinct 4,,4,4,3611,FRAMINGHAM,100,2.997,1918.32,2012,7763191.56666,13853.2325088
Littleton Town Precinct 2,,2,2,3067,LITTLETON,158,5.447,3486.3,2012,14108620.6031,16199.1548207
Littleton Town Precinct 3,,3,3,2858,LITTLETON,158,8.208,5253.11,2012,21258654.449,25590.8767471
Littleton Town Precinct 1,,1,1,2999,LITTLETON,158,3.863,2472.47,2012,10005773.0002,13131.8719269
North Reading Town Precinct 3,,3,3,3821,NORTH READING,213,3.64,2329.86,2012,9428647.41443,21429.2403144
Norton Town Precinct 4,,4,4,3645,NORTON,218,5.934,3797.8,2012,15369204.179,21493.3434203
Norton Town Precinct 3,,3,3,3794,NORTON,218,3.64,2329.59,2012,9427549.74147,13170.6570885
Medfield Town Precinct 4,,4,4,2970,MEDFIELD,175,4.106,2628.09,2012,10635555.7051,19683.6841133
Millbury Town Precinct 4,,4,4,3275,MILLBURY,186,2.407,1540.79,2012,6235371.98687,12089.3220978
Millbury Town Precinct 1,,1,1,3373,MILLBURY,186,3.478,2226.13,2012,9008869.15819,15464.2184376
Millbury Town Precinct 3,,3,3,3331,MILLBURY,186,3.605,2307.44,2012,9337912.2119,14021.5326696
Millbury Town Precinct 2,,2,2,3282,MILLBURY,186,6.944,4443.86,2012,17983725.8489,23137.9691502
Norton Town Precinct 2,,2,2,3819,NORTON,218,5.229,3346.26,2012,13541874.5785,16204.9484353
Norton Town Precinct 1,,1,1,3972,NORTON,218,8.285,5302.35,2012,21457923.9154,20812.7339876
Norton Town Precinct 5,,5,5,3801,NORTON,218,6.223,3982.96,2012,16118543.5272,16534.1859696
Orange Town Precinct 1,,1,1,3938,ORANGE,223,24.27,15532.96,2012,62859895.4342,46745.7334836
Sandwich Town Precinct 6,,6,6,3475,SANDWICH,261,17.779,11378.61,2012,46047789.179,37322.6908743
Medfield Town Precinct 1,,1,1,2935,MEDFIELD,175,3.76,2406.22,2012,9737665.99417,16333.6254063
Plainville Town Precinct 2,,2,2,2627,PLAINVILLE,238,3.05,1952.08,2012,7899834.82268,13583.3061008
Medfield Town Precinct 2,,2,2,2986,MEDFIELD,175,3.359,2149.77,2012,8699846.1615,14358.9884577
Medfield Town Precinct 3,,3,3,3133,MEDFIELD,175,3.41,2182.16,2012,8830931.87815,15951.4794729
Northborough Town Precinct 4,,4,4,3539,NORTHBOROUGH,215,6.174,3951.36,2012,15990642.2627,18109.4745438
Northborough Town Precinct 3,,3,3,3695,NORTHBOROUGH,215,5.271,3373.65,2012,13652715.4105,17257.7097562
Northborough Town Precinct 1,,1,1,3400,NORTHBOROUGH,215,3.396,2173.62,2012,8796368.92281,13939.5133142
Northborough Town Precinct 2,,2,2,3521,NORTHBOROUGH,215,3.905,2499.4,2012,10114760.9639,14849.0203814
North Reading Town Precinct 1,,1,1,3644,NORTH READING,213,4.64,2969.74,2012,12018139.938,19264.7391765
North Reading Town Precinct 4,,4,4,3618,NORTH READING,213,2.762,1767.85,2012,7154244.9768,14358.0562554
North Reading Town Precinct 2,,2,2,3809,NORTH READING,213,2.453,1570.14,2012,6354158.2797,12896.0277277
Oxford Town Precinct 3,,3,3,3446,OXFORD,226,6.724,4303.08,2012,17414032.0979,25241.7939105
Oxford Town Precinct 4,,4,4,3475,OXFORD,226,7.126,4560.72,2012,18456669.2511,21616.1610945
Plainville Town Precinct 1,,1,1,2761,PLAINVILLE,238,2.954,1890.84,2012,7651991.21676,14224.0562945
Plainville Town Precinct 3,,3,3,2876,PLAINVILLE,238,5.513,3528.45,2012,14279187.1063,15889.5064428
Plymouth Town Precinct 6,,6,6,3611,PLYMOUTH,239,3.475,2223.89,2012,8999781.64432,17686.8691307
Plymouth Town Precinct 5,,5,5,3821,PLYMOUTH,239,25.69,16441.45,2012,66536453.079,65201.159724
Plymouth Town Precinct 4,,4,4,3633,PLYMOUTH,239,2.761,1767.33,2012,7152173.94838,13065.7676766
Plymouth Town Precinct 10,,10,10,3730,PLYMOUTH,239,4.533,2901.1,2012,11740391.5574,25598.4233311
Plymouth Town Precinct 3,,3,3,3626,PLYMOUTH,239,1.004,642.29,2012,2599267.00568,9001.17689114
Plymouth Town Precinct 2,,2,2,3788,PLYMOUTH,239,2.254,1442.42,2012,5837305.58272,15968.5313349
Plymouth Town Precinct 11,,11,11,3894,PLYMOUTH,239,4.771,3053.21,2012,12355960.4295,21177.9267738
Plymouth Town Precinct 13,,13,13,3895,PLYMOUTH,239,3.313,2120.39,2012,8580932.13126,17813.2217956
Plymouth Town Precinct 1,,1,1,3584,PLYMOUTH,239,2.277,1457.38,2012,5897841.13352,22279.9602798
Plymouth Town Precinct 14,,14,14,3899,PLYMOUTH,239,7.225,4624.21,2012,18713602.8103,30990.8708441
Plymouth Town Precinct 7,,7,7,3924,PLYMOUTH,239,2.467,1578.92,2012,6389670.89087,13961.6126991
Plymouth Town Precinct 12,,12,12,3668,PLYMOUTH,239,22.511,14407.09,2012,58303665.1006,51045.280546
Plymouth Town Precinct 15,,15,15,3877,PLYMOUTH,239,10.721,6861.6,2012,27768005.3005,29742.5532763
Salisbury Town Precinct 1,,1,1,2725,SALISBURY,259,5.74,3673.86,2012,14867647.4765,55319.4413282
Plymouth Town Precinct 8,,8,8,3717,PLYMOUTH,239,4.895,3132.58,2012,12677170.8022,21426.6161609
Plymouth Town Precinct 9,,9,9,3801,PLYMOUTH,239,4.802,3073.08,2012,12436352.792,21233.2705174
Salisbury Town Precinct 2,,2,2,2782,SALISBURY,259,4.506,2883.61,2012,11669616.5352,16267.1790392
Salisbury Town Precinct 3,,3,3,2776,SALISBURY,259,5.288,3384.36,2012,13696073.2618,15877.812798
Sandwich Town Precinct 1,,1,1,3436,SANDWICH,261,4.911,3143.29,2012,12720489.9516,26020.135418
Sandwich Town Precinct 2,,2,2,3499,SANDWICH,261,7.909,5061.61,2012,20483704.7529,54377.9953677
Sandwich Town Precinct 3,,3,3,3362,SANDWICH,261,5.299,3391.3,2012,13724150.1631,18682.4437214
Orange Town Precinct 2,,2,2,3901,ORANGE,223,11.753,7522.16,2012,30441210.2375,23512.5767385
Oxford Town Precinct 1,,1,1,3468,OXFORD,226,3.961,2535.26,2012,10259893.3464,18175.4977869
Oxford Town Precinct 2,,2,2,3320,OXFORD,226,9.624,6159.14,2012,24925249.2256,27273.2664575
Sandwich Town Precinct 4,,4,4,3463,SANDWICH,261,4.298,2751.02,2012,11133009.2547,17492.5411272
Sandwich Town Precinct 5,,5,5,3440,SANDWICH,261,3.59,2297.45,2012,9297473.26327,17592.8472568
Seekonk Town Precinct 1,,1,1,3467,SEEKONK,265,3.306,2115.58,2012,8561481.51256,13029.0353143
Stoneham Town Precinct 1,,1,1,3108,STONEHAM,284,0.683,436.85,2012,1767873.80365,6779.40555715
Sudbury Town Precinct 5,,5,5,3533,SUDBURY,288,3.814,2440.81,2012,9877645.48774,17456.3965216
Swampscott Town Precinct 1,,1,1,2331,SWAMPSCOTT,291,0.74,473.76,2012,1917248.70225,7830.51793346
Swampscott Town Precinct 2,,2,2,2361,SWAMPSCOTT,291,0.308,197.27,2012,798340.686514,4590.92124127
Swampscott Town Precinct 3,,3,3,2291,SWAMPSCOTT,291,0.217,138.96,2012,562360.683782,4188.13739186
Seekonk Town Precinct 2,,2,2,3440,SEEKONK,265,6.775,4335.95,2012,17547029.5206,22077.2068996
Seekonk Town Precinct 3,,3,3,3266,SEEKONK,265,3.613,2312.58,2012,9358731.38217,16798.8411434
Seekonk Town Precinct 4,,4,4,3549,SEEKONK,265,4.926,3152.42,2012,12757424.592,18447.3222454
Swampscott Town Precinct 4,,4,4,2296,SWAMPSCOTT,291,0.289,184.88,2012,748190.681596,4863.02297946
Swampscott Town Precinct 5,,5,5,2259,SWAMPSCOTT,291,0.589,377.13,2012,1526178.96073,9358.7499732
Swampscott Town Precinct 6,,6,6,2249,SWAMPSCOTT,291,0.896,573.49,2012,2320855.84996,7551.77537433
Templeton Town Precinct B,,B,B,2800,TEMPLETON,294,12.619,8076.32,2012,32683829.2458,28945.7402962
Stoneham Town Precinct 2,,2,2,3159,STONEHAM,284,1.344,860.27,2012,3481393.31209,9785.1784601
Stoneham Town Precinct 3,,3,3,3150,STONEHAM,284,0.702,449.18,2012,1817756.73661,6962.34731918
Stoneham Town Precinct 4,,4,4,2968,STONEHAM,284,0.528,338.2,2012,1368633.24355,5375.0792185
Stoneham Town Precinct 5,,5,5,3081,STONEHAM,284,0.635,406.33,2012,1644383.65075,5970.50344045
Stoneham Town Precinct 6,,6,6,2978,STONEHAM,284,2.122,1358.3,2012,5496856.20819,10106.4187238
Stoneham Town Precinct 7,,7,7,2993,STONEHAM,284,0.635,406.18,2012,1643769.90884,6809.72495671
Stow Town Precinct 1,,1,1,3362,STOW,286,10.081,6452.03,2012,26110549.1643,23720.1046373
Stow Town Precinct 2,,2,2,3228,STOW,286,7.902,5057.33,2012,20466379.6126,21346.9260823
Sudbury Town Precinct 1,,1,1,3689,SUDBURY,288,3.371,2157.25,2012,8730112.34074,12787.8509957
Sudbury Town Precinct 2,,2,2,3455,SUDBURY,288,3.656,2340.05,2012,9469891.22002,16054.2315862
Sudbury Town Precinct 3,,3,3,3551,SUDBURY,288,5.279,3378.39,2012,13671930.5729,23765.2003919
Sudbury Town Precinct 4,,4,4,3431,SUDBURY,288,8.631,5523.88,2012,22354453.5064,27694.0172076
Tyngsborough Town Precinct 4,,4,4,2781,TYNGSBOROUGH,301,4.877,3121.24,2012,12631262.5017,20774.0269389
Wayland Town Precinct 1,,1,1,3217,WAYLAND,315,7.302,4673.34,2012,18912416.9908,30230.3613246
Wayland Town Precinct 4,,4,4,3293,WAYLAND,315,4.582,2932.63,2012,11867986.2891,17287.335145
Wayland Town Precinct 3,,3,3,3239,WAYLAND,315,2.248,1438.43,2012,5821140.59869,17970.0716865
Wayland Town Precinct 2,,2,2,3245,WAYLAND,315,1.712,1095.64,2012,4433934.00557,13375.1934108
Wellesley Town Precinct A,,A,A,3393,WELLESLEY,317,0.88,563.38,2012,2279925.19314,7816.10737256
Wellesley Town Precinct B,,B,B,3654,WELLESLEY,317,1.184,758.05,2012,3067738.91849,8755.75396127
Wellesley Town Precinct C,,C,C,3409,WELLESLEY,317,1.38,883.01,2012,3573445.18889,8384.78375962
Wellesley Town Precinct D,,D,D,3569,WELLESLEY,317,1.209,773.58,2012,3130580.07209,9465.88035734
Wellesley Town Precinct E,,E,E,3432,WELLESLEY,317,1.867,1194.64,2012,4834563.64812,11425.1867415
Wellesley Town Precinct F,,F,F,3614,WELLESLEY,317,1.47,940.8,2012,3807298.1288,12070.999403
Wellesley Town Precinct G,,G,G,3431,WELLESLEY,317,1.442,922.89,2012,3734831.26099,9156.85652651
Wellesley Town Precinct H,,H,H,3480,WELLESLEY,317,1.088,696.24,2012,2817610.52745,9346.56120353
West Springfield Town Precinct 2,,2,2,3624,WEST SPRINGFIELD,325,0.773,494.5,2012,2001167.03255,8653.4006898
West Springfield Town Precinct 1,,1,1,3556,WEST SPRINGFIELD,325,1.499,959.23,2012,3881897.92446,11154.7456422
Whitman Town Precinct 1,,1,1,3677,WHITMAN,338,2.365,1513.73,2012,6125862.34466,11432.8276267
Whitman Town Precinct 2,,2,2,3581,WHITMAN,338,1.278,817.91,2012,3309966.84883,8612.97150538
Whitman Town Precinct 3,,3,3,3619,WHITMAN,338,1.611,1031.12,2012,4172804.13171,10580.714846
Whitman Town Precinct 4,,4,4,3612,WHITMAN,338,1.708,1093.08,2012,4423543.48792,9409.86822105
Abington Town Precinct 1,,1,1,3295,ABINGTON,1,1.745,1116.49,2012,4518290.72179,10855.5151588
West Bridgewater Town Precinct 1,,1,1,3481,WEST BRIDGEWATER,322,8.649,5535.62,2012,22401946.2359,23617.205881
West Bridgewater Town Precinct 2,,2,2,3435,WEST BRIDGEWATER,322,7.024,4495.09,2012,18191053.4933,17865.2651076
West Springfield Town Precinct 7,,7,7,3520,WEST SPRINGFIELD,325,4.933,3156.93,2012,12775696.3378,21773.5569872
West Springfield Town Precinct 8,,8,8,3626,WEST SPRINGFIELD,325,2.594,1660.14,2012,6718368.92431,12285.2328503
West Springfield Town Precinct 5,,5,5,3466,WEST SPRINGFIELD,325,4.324,2767.46,2012,11199572.8182,20247.5046216
West Springfield Town Precinct 6,,6,6,3465,WEST SPRINGFIELD,325,1.369,876.02,2012,3545150.91159,8308.07373923
West Springfield Town Precinct 4,,4,4,3595,WEST SPRINGFIELD,325,0.956,611.64,2012,2475215.19241,7876.1802512
West Springfield Town Precinct 3,,3,3,3539,WEST SPRINGFIELD,325,1.074,687.05,2012,2780415.81809,8089.54550203
Templeton Town Precinct A,,A,A,2567,TEMPLETON,294,13.874,8879.27,2012,35933279.2273,28641.2655862
Templeton Town Precinct C,,C,C,2646,TEMPLETON,294,5.885,3766.58,2012,15242869.382,23207.5851877
Tyngsborough Town Precinct 1,,1,1,2854,TYNGSBOROUGH,301,2.397,1534.33,2012,6209239.77694,14180.3572529
Tyngsborough Town Precinct 2,,2,2,2950,TYNGSBOROUGH,301,4.193,2683.26,2012,10858792.7926,18343.0117213
Tyngsborough Town Precinct 3,,3,3,2707,TYNGSBOROUGH,301,6.618,4235.78,2012,17141653.5472,27751.5017095
Abington Town Precinct 2,,2,2,3121,ABINGTON,1,1.682,1076.38,2012,4355972.8881,11434.3149792
Abington Town Precinct 3,,3,3,3068,ABINGTON,1,1.625,1040.26,2012,4209814.0076,8976.84621374
Abington Town Precinct 4,,4,4,3164,ABINGTON,1,3.33,2131.16,2012,8624515.40932,17303.9581132
Abington Town Precinct 5,,5,5,3337,ABINGTON,1,1.508,964.89,2012,3904787.93769,8692.38004838
Acton Town Precinct 1,,1,1,3809,ACTON,2,3.891,2489.94,2012,10076476.8215,15317.0478664
Andover Town Precinct 2,,2,2,3786,ANDOVER,9,1.607,1028.45,2012,4161990.94353,10748.871951
Andover Town Precinct 3,,3,3,3804,ANDOVER,9,1.162,743.77,2012,3009933.70379,8767.177721
Andover Town Precinct 1,,1,1,3816,ANDOVER,9,1.507,964.43,2012,3902938.22708,11359.8214955
Acton Town Precinct 2,,2,2,3500,ACTON,2,4.304,2754.46,2012,11146953.3518,15720.3240677
Acton Town Precinct 6,,6,6,3503,ACTON,2,3.234,2069.55,2012,8375206.91383,15901.9404226
Acton Town Precinct 3,,3,3,3536,ACTON,2,2.128,1361.77,2012,5510891.3345,11313.8060731
Acton Town Precinct 4,,4,4,3801,ACTON,2,3.403,2178.16,2012,8814747.68911,13378.6021245
Andover Town Precinct 9,,9,9,3624,ANDOVER,9,3.146,2013.29,2012,8147528.44918,12210.3752447
Ashland Town Precinct 1,,1,1,3389,ASHLAND,14,3.381,2164.06,2012,8757660.60678,13418.4214106
Ashland Town Precinct 2,,2,2,3163,ASHLAND,14,3.499,2239.22,2012,9061853.38972,15979.3841891
Ashland Town Precinct 3,,3,3,3265,ASHLAND,14,1.63,1043.39,2012,4222478.36006,11652.6753523
Acton Town Precinct 5,,5,5,3775,ACTON,2,3.336,2134.82,2012,8639329.61703,13022.42509
Adams Town Precinct 1,,1,1,1679,ADAMS,4,1.603,1025.75,2012,4151068.35047,10420.6119777
Adams Town Precinct 2,,2,2,1672,ADAMS,4,5.543,3547.25,2012,14355254.6875,17438.571442
Adams Town Precinct 3,,3,3,1731,ADAMS,4,4.974,3183.06,2012,12881421.323,16501.7606064
Adams Town Precinct 4,,4,4,1656,ADAMS,4,1.158,741.17,2012,2999424.01238,8375.49298391
Adams Town Precinct 5,,5,5,1747,ADAMS,4,9.687,6199.95,2012,25090410.7259,22423.6207369
Andover Town Precinct 8,,8,8,3508,ANDOVER,9,5.699,3647.65,2012,14761557.9139,18780.3066823
Andover Town Precinct 7,,7,7,3537,ANDOVER,9,3.624,2319.58,2012,9387027.95775,14999.0345338
Andover Town Precinct 6,,6,6,3802,ANDOVER,9,5.805,3715.37,2012,15035630.8148,23402.7793149
Andover Town Precinct 5,,5,5,3515,ANDOVER,9,6.01,3846.71,2012,15567161.4267,18051.4804667
Andover Town Precinct 4,,4,4,3809,ANDOVER,9,3.609,2309.95,2012,9348086.137,17274.0101134
Belchertown Town Precinct D,,D,D,3714,BELCHERTOWN,24,15.811,10119.15,2012,40950921.3999,29425.8110463
Belchertown Town Precinct A,,A,A,3612,BELCHERTOWN,24,13.542,8666.74,2012,35073199.1766,32307.4808214
Belchertown Town Precinct C,,C,C,3671,BELCHERTOWN,24,9.259,5925.61,2012,23980173.4091,22712.7973648
Belchertown Town Precinct B,,B,B,3652,BELCHERTOWN,24,16.709,10693.63,2012,43275746.1777,37666.4206115
Belmont Town Precinct 1,,1,1,3052,BELMONT,26,0.558,357.11,2012,1445184.73331,5204.90606784
Belmont Town Precinct 2,,2,2,3069,BELMONT,26,1.469,940.31,2012,3805327.63519,9431.93269639
Barnstable Town Precinct 10,,10,10,3390,BARNSTABLE,20,3.466,2218.15,2012,8976587.72968,14218.5096934
Barnstable Town Precinct 11,,11,11,3619,BARNSTABLE,20,15.657,10020.67,2012,40552369.2511,93654.4607626
Barnstable Town Precinct 12,,12,12,3636,BARNSTABLE,20,4.723,3022.85,2012,12233107.7384,19831.1154036
Barnstable Town Precinct 13,,13,13,3310,BARNSTABLE,20,2.549,1631.19,2012,6601234.19414,26799.3099729
Barre Town Precinct 1,,1,1,2692,BARRE,21,25.154,16098.59,2012,65148940.3462,40770.3566717
Barre Town Precinct 2,,2,2,2706,BARRE,21,19.449,12447.06,2012,50371659.2841,36983.4828922
Ashland Town Precinct 4,,4,4,3447,ASHLAND,14,1.529,978.77,2012,3960959.40101,10915.0863924
Ashland Town Precinct 5,,5,5,3329,ASHLAND,14,2.828,1809.78,2012,7323942.99969,12416.9339564
Athol Town Precinct 1,,1,1,3939,ATHOL,15,17.914,11464.93,2012,46397092.8148,38025.1799431
Athol Town Precinct 2,,2,2,3814,ATHOL,15,10.082,6452.58,2012,26112786.8419,24898.8915382
Athol Town Precinct 3,,3,3,3831,ATHOL,15,5.357,3428.38,2012,13874218.9903,21736.3225778
Auburn Town Precinct 1,,1,1,3180,AUBURN,17,3.823,2446.85,2012,9902079.83687,18900.8110277
Auburn Town Precinct 2,,2,2,3323,AUBURN,17,2.052,1313.57,2012,5315830.98786,10803.1144148
Auburn Town Precinct 3,,3,3,3251,AUBURN,17,2.061,1318.9,2012,5337417.12544,12348.1914218
Auburn Town Precinct 4,,4,4,3251,AUBURN,17,1.606,1027.69,2012,4158948.57674,9843.54682646
Auburn Town Precinct 5,,5,5,3183,AUBURN,17,6.869,4396.11,2012,17790498.7101,21314.8542622
Ayer Town Precinct 1,,1,1,3742,AYER,19,5.078,3249.8,2012,13151520.7416,18045.1358618
Ayer Town Precinct 2,,2,2,3685,AYER,19,4.404,2818.74,2012,11407070.7837,21287.9234243
Barnstable Town Precinct 1,,1,1,3593,BARNSTABLE,20,11.471,7341.33,2012,29709431.4799,49097.5633028
Barnstable Town Precinct 2,,2,2,3643,BARNSTABLE,20,3.333,2133,2012,8631976.28536,12348.5677245
Barnstable Town Precinct 3,,3,3,3522,BARNSTABLE,20,1.498,958.63,2012,3879448.17533,8309.84926177
